District_Name,Crop_Year,Season,Crop,Area,Yield,Rainfall,Texture,pH,Drainage,Water_Holding,Salinity,Fertility_Level,Temp_Max_C,Temp_Min_C,Irrigation_Level,Net_Cropped_Area_ha,Gross_Cropped_Area_ha,Climate_Type,Soil_Type
0,2013,0,31,6436,3.2889993784959604,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,35,809,1.2410383189122374,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,39,17153,5.320177228473153,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,42,23,0.5652173913043478,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,43,36,11.63888888888889,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,60,38,2.736842105263158,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,64,24437,5.387649875189262,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,71,76,1.8026315789473684,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,0,79,1951,0.8400820092260379,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,4,95,2.0,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,23,303,2.3993399339933994,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,31,3571,6.09353122374685,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,33,1,1.0,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,35,63,2.1587301587301586,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,39,615,5.001626016260163,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,43,7,8.428571428571429,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,60,11,4.0,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,71,1,1.0,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,1,79,1485,0.8531986531986532,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,2,236,0.9661016949152542,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,5,131,41.534351145038165,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
